Parameter,LO[central_value,+error,-error],NLO[central_value,+error,-error],NNLO[central_value,+error,-error]
"Delta_A_u",0.404,0.054,-0.054,0.959,0.099,0.099,0,0,0
"alpha_u",0.00,0.01,-0.01,0,0,0,0,0,0
"Delta_gamma_u",1.47,0.20,-0.20,0.613139,0.063296,0.063296,0,0,0
"Delta_lambda_u",1.41,0.46,-0.46,1.048,0.266,0.266,0,0,0
"Delta_A_d",-0.274,0.056,-0.056,-0.773,0.210,0.210,0,0,0
"alpha_d",0.00,0.01,-0.01,0,0,0,0,0,0
"Delta_gamma_d",2.65,0.54,-0.54,0.61837,0.167992,0.167992,0,0,0
"Delta_lambda_d",1.25,0.28,-0.28,1.243,0.561,0.561,0,0,0
"Delta_A_ubar",-0.680,0.373,-0.373,0.78,0.904,0.904,0,0,0
"alpha_ubar",0.59,0.94,-0.94,1.1014,0.180,0.180,0,0,0
"Delta_gamma_ubar",-2.47,0.82,-0.82,-97.3077,113.688,113.688,0,0,0
"Delta_lambda_ubar",4.06,1.14,-1.14,-0.014,0.18,0.18,0,0,0
"Delta_A_g",47.5,4.1,-4.1,-1,4.39,4.39,0,0,0
"alpha_g",1.44,0.73,-0.73,2.74,1.3,1.3,0,0,0
"OLD:Delta_gamma_g",-0.986,0.002,-0.002,-252,1114.98,1114.98,0,0,0
"Delta_gamma_g",-0.986,0.002,-0.002,-252,139,139,0,0,0
"OLD:Delta_lambda_g",0.06,1.05,-1.05,-0.04,2.88009,2.88009,0,0,0
"Delta_lambda_g",0.06,1.05,-1.05,-0.04,0.0425418,0.0425418,0,0,0
"Delta_A_dbar",-0.680,0.373,-0.373,0.78,0.904,0.904,0,0,0
"alpha_dbar",0.59,0.94,-0.94,1.1014,0.180,0.180,0,0,0
"Delta_gamma_dbar",-2.47,0.82,-0.82,-97.3077,113.688,113.688,0,0,0
"Delta_lambda_dbar",4.06,1.14,-1.14,-0.014,0.18,0.18,0,0,0
"Delta_A_s",-0.680,0.373,-0.373,0.78,0.904,0.904,0,0,0
"alpha_s",0.59,0.94,-0.94,1.1014,0.180,0.180,0,0,0
"Delta_gamma_s",-2.47,0.82,-0.82,-97.3077,113.688,113.688,0,0,0
"Delta_lambda_s",4.06,1.14,-1.14,-0.014,0.18,0.18,0,0,0
"Delta_A_sbar",-0.680,0.373,-0.373,0.78,0.904,0.904,0,0,0
"alpha_sbar",0.59,0.94,-0.94,1.1014,0.180,0.180,0,0,0
"Delta_gamma_sbar",-2.47,0.82,-0.82,-97.3077,113.688,113.688,0,0,0
"Delta_lambda_sbar",4.06,1.14,-1.14,-0.014,0.18,0.18,0,0,0
"Delta_A_s_plus",-0.680,0.373,-0.373,0.78,0.904,0.904,0,0,0
"alpha_s_plus",0.59,0.94,-0.94,1.1014,0.180,0.180,0,0,0
"Delta_gamma_s_plus",-2.47,0.82,-0.82,-97.3077,113.688,113.688,0,0,0
"Delta_lambda_s_plus",4.06,1.14,-1.14,-0.014,0.18,0.18,0,0,0
"Delta_A_S",-0.680,0.373,-0.373,0.78,0.904,0.904,0,0,0
"alpha_S",0.59,0.94,-0.94,1.1014,0.180,0.180,0,0,0
"OLD:Delta_gamma_S",-2.47,0.82,-0.82,-97.3077,113.688,113.688,0,0,0
"Delta_gamma_S",-2.47,0.82,-0.82,-97.3077,11.2,11.2,0,0,0
"OLD:Delta_lambda_S",4.06,1.14,-1.14,-0.014,0.18,0.18,0,0,0
"Delta_lambda_S",4.06,1.14,-1.14,-0.014,0.00248521,0.00248521,0,0,0
